parlamentarier_anzeige_name	parlamentarier_id	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei_de	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache	zutrittsberechtigung_id	zutrittsberechtigung_funktion	zutrittsberechtigung_funktion_fr	zutrittsberechtigung_von	zutrittsberechtigung_bis	person_id	person_nachname	person_vorname	person_zweiter_vorname	person_namensunterscheidung	person_beschreibung_de	person_beschreibung_fr	person_beruf	person_beruf_fr	person_beruf_interessengruppe_id	person_partei_id	person_geschlecht	person_arbeitssprache	person_homepage	person_twitter_name	person_linkedin_profil_url	person_xing_profil_name	person_facebook_name
"Baumann, Kilian"	358	"NR"	"BE"	"Grüne"	"G"	"WAK-NR"	2019-12-01		"M"	1980-12-14	4247	3139	"de"	"de"	1182	"Landwirtschaft mit Zukunft"		2020-02-21		877	"Waser"	"Dominik"			"Landwirtschaft mit Zukunft"		"Aktivist, Landschaftsgärtner"	"Activiste, jardinier paysagiste"	80		"M"	"de"	"https://www.landwirtschaftmitzukunft.ch/kontakt"	"DominikWaser1"	"https://www.linkedin.com/in/dominik-waser-052214162/"		"domiwaser"
"Baume-Schneider, Elisabeth"	401	"SR"	"JU"	"SP"	"S"	"Bü-SR, GPK-SR, UREK-SR, WBK-SR"	2019-12-02		"F"	1963-12-24	4238	3193	"fr"	"fr"	1171	"Invité(e)"		2020-02-09		609	"Vieli"	"Martina"			"SSR SRG, Head of Public Affairs und Mitglied der erweiterten\nGeschäftsleitung"		"Head of Public Affairs"		49		"F"	"de"	"http://www.srgssr.ch"	"martinavieli"	"https://ch.linkedin.com/in/martinavieli"	"Martina_Vieli"	"martina.vieli.9?fref=ts"
"Bäumle, Martin"	51	"NR"	"ZH"	"GLP"	"GL"	"IK-NR, UREK-NR"	2003-12-01		"M"	1964-06-03	1138	2585	"de"	"de"	1194	"Mr. Campaigning"		2020-03-06		884	"Metzinger"	"Peter"	"Alois"		"Mr. Campaigning"		"Campaigner und Berater"	"Campaigner et consultant"	18	1	"M"	"de"	"https://petermetzinger.com/about/"	"campaigning"	"https://www.linkedin.com/in/petermetzinger/"	"Peter_Metzinger/cv"	"peter.metzinger"
"Bellaiche, Judith"	362	"NR"	"ZH"	"GLP"	"GL"	"RK-NR"	2019-10-20		"F"	1971-02-02	4248	3140	"de"	"de"	1026	"Bildungskommission ICT Switzerland"		2019-12-03		799	"Gut"	"Alain"			"Bildungskommission ICT Switzerland"		"Director Public Affairs IBM Switzerland"		78		"M"	"de"		"alain_gut"	"https://www.linkedin.com/in/alaingut/"	"Alain_Gut/cv"	
"Bellaiche, Judith"	362	"NR"	"ZH"	"GLP"	"GL"	"RK-NR"	2019-10-20		"F"	1971-02-02	4248	3140	"de"	"de"	1183	"Persönliche/r Mitarbeiter/in"		2020-02-21		878	"Canali"	"Flavia"			"Persönliche/r Mitarbeiter/in"						"F"						
"Bendahan, Samuel"	323	"NR"	"VD"	"SP"	"S"	"WAK-NR"	2017-06-15		"M"	1980-06-11	4213	3114	"fr"	"fr"	822	"Office des affaires extérieures, Etat de Vaud"	"Etat de Vaud"	2017-06-17		514	"Rampazzo"	"Aline Sara"					"Verantwortlich für strategische Aufgaben beim Amt für Auswärtige Angelegenheiten, Kanton Waadt"	"Chargée de missions stratégiques, Office des affaires extérieures, Etat de Vaud"	13		"F"	"fr"		"aline_rampazzo"	"https://www.linkedin.com/in/aline-rampazzo-jaquier-a6437348/"		
"Bendahan, Samuel"	323	"NR"	"VD"	"SP"	"S"	"WAK-NR"	2017-06-15		"M"	1980-06-11	4213	3114	"fr"	"fr"	842	"Schweizerischer Gewerkschaftsbund (SGB)"		2017-10-27		662	"Wyss"	"Reto"			"Ökonom"	"Économiste"	"Zentralsekretär Schweizerischer Gewerkschaftsbund"	"Secrétaire central de l'Union syndicale suisse"	53	3	"M"	"de"	"http://www.sgb.ch"		"https://www.linkedin.com/in/reto-wyss-07030990/"	"Reto_Wyss13"	"reto.wyss.16"
"Bertschy, Kathrin"	53	"NR"	"BE"	"GLP"	"GL"	"GK-V, WAK-NR"	2011-12-05		"F"	1979-07-02	4102	3016	"de"	"de"	1136	"SONART - Musikschaffende Schweiz"		2020-02-09		461	"Trummer"	"Christoph"			"SONART - Musikschaffende Schweiz"		"Musiker"	"Musicien"	10		"M"	"de"	"http://www.trummeronline.ch"		"https://www.linkedin.com/in/christoph-trummer-9119245/"		
"Bertschy, Kathrin"	53	"NR"	"BE"	"GLP"	"GL"	"GK-V, WAK-NR"	2011-12-05		"F"	1979-07-02	4102	3016	"de"	"de"	899	"alliance F"		2018-09-07		699	"Achermann"	"Sophie"					"Geschäftsführerin Alliance F"	"Directrice Alliance F"	67	4	"F"	"de"	"https://www.alliancef.ch"	"sophieachermann"	"https://www.linkedin.com/in/sophie-achermann-801041b3/"		"sophie.achermann"
"Binder-Keller, Marianne"	364	"NR"	"AG"	"M"	"M-E"	"GPK-NR, SPK-NR"	2019-12-01		"F"	1958-06-15	4249	3141	"de"	"de"	1137	"Gast"		2020-02-09		853	"Binder"	"Andreas"			"Gast"		"Rechtsanwalt, Honorarprofessor Universität St. Gallen"	"Avocat, Professeur honoraire Universität St. Gallen"	143		"M"	"de"			"https://www.linkedin.com/in/andreas-binder-09629a146/?originalSubdomain=ch"		
"Binder-Keller, Marianne"	364	"NR"	"AG"	"M"	"M-E"	"GPK-NR, SPK-NR"	2019-12-01		"F"	1958-06-15	4249	3141	"de"	"de"	1195	"Bank Julius Bär & Co. AG"		2020-03-06		885	"Binder"	"Simon"			"Bank Julius Bär & Co. AG"		"Public Policy Director Bank Julius Bär"	"Public Policy Director Banque Julius Baer"	16	22	"M"	"de"			"https://www.linkedin.com/in/simon-binder-635964125/"		
"Bircher, Martina"	373	"NR"	"AG"	"SVP"	"V"	"SPK-NR"	2019-10-20		"F"	1984-04-13	4250	3142	"de"	"de"	1184	"comparis.ch"		2020-02-21		381	"Schneuwly"	"Felix"					"Leiter Public Affairs Comparis"	"Responsable Public Affairs Comparis"	18		"M"	"de"		"felixschneuwly"	"https://ch.linkedin.com/in/felixschneuwly"	"Felix_Schneuwly"	"Felix.Schneuwly"
"Birrer-Heimo, Prisca"	55	"NR"	"LU"	"SP"	"S"	"GPK-NR, WAK-NR"	2010-05-31		"F"	1959-02-04	4030	2743	"de"	"de"	77	"Stiftung für Konsumentenschutz"				83	"Stalder"	"Sara"			"Stiftung für Konsumentenschutz"		"Geschäftsführerin"		81		"F"	"de"		"KonsumSchutz"			
"Bischof, Pirmin"	219	"SR"	"SO"	"M"	"M-E"	"APK-NS 20-30, APK-SR, Del D-V, SGK-SR, UREK-SR, WAK-SR"	2007-12-03		"M"	1959-02-24	3871	2674	"de"	"de"	1109	"Schweizerischer Verband freier Berufe SVFB"		2019-12-09		32	"Taddei"	"Marco"					"Verantwortlicher Romandie des Schweizerischen Arbeitgeberverbands"	"Responsable de l'Antenne romande de l'Union patronale suisse"	59		"M"	"fr"	"https://www.arbeitgeber.ch/ueber-uns/geschaeftsstelle/"		"https://www.linkedin.com/in/marco-taddei-759b6744"		
"Bischof, Pirmin"	219	"SR"	"SO"	"M"	"M-E"	"APK-NS 20-30, APK-SR, Del D-V, SGK-SR, UREK-SR, WAK-SR"	2007-12-03		"M"	1959-02-24	3871	2674	"de"	"de"	1110	"Association Spitex privée Suisse ASPS"		2019-12-09		318	"Durst"	"Marcel"			"Werbeagentur Komet"	"Agence de publicité Komet"	"Geschäftsführer Verband der privaten Spitex-Organisationen; PR-Berater"	"Directeur Association Spitex Privée Suisse; Consultant en relations publiques"	7		"M"	"de"	"https://www.spitexprivee.swiss"	"MarcelDurst"	"https://www.linkedin.com/in/marcel-durst-38398819/"	"Marcel_Durst"	"marcel.durst.9"
"Borloz, Frédéric"	268	"NR"	"VD"	"FDP"	"RL"	"KVF-NR"	2015-11-30		"M"	1966-04-22	4188	3061	"fr"	"fr"	558	"Invité(e)"		2015-12-15		500	"Miauton"	"Philippe"					"Generalsekretär Waadtländer Industrie- und Handelskammer"	"Secrétaire général Chambre vaudoise du commerce et de l'industrie"	59	1	"M"	"fr"		"phmiauton"	"https://www.linkedin.com/in/philippe-miauton/?originalSubdomain=ch"	"Philippe_Miauton"	"Philippe Miauton"
"Borloz, Frédéric"	268	"NR"	"VD"	"FDP"	"RL"	"KVF-NR"	2015-11-30		"M"	1966-04-22	4188	3061	"fr"	"fr"	1242	"Directrice de la Fédération suisse des vignerons"		2020-10-30		922	"Noirjean"	"Hélène"			"Direktorin Schweizerischer Weinbauernverband"	"Directrice de la Fédération suisse des vignerons"	"Direktorin"	"Directrice"			"F"						
"Bourgeois, Jacques"	57	"NR"	"FR"	"FDP"	"RL"	"FK-NR, UREK-NR"	2007-12-03		"M"	1958-03-14	3872	2675	"fr"	"fr"	79	"Invité(e)"				85	"Egger"	"Francis"			"Union Suisse des Paysans"		"Vize-Direktor, Leiter Departement Wirtschaft Bildung und Internationales beim Schweizerischen Bauernverband"	"Vice-directeur, Responsable du Département Economie, formation et relations internationales à l'Union Suisse des Paysans"	85		"M"	"fr"	"https://www.sbv-usp.ch/de/organisation/geschaeftsstelle/"	"EggerFrancis"	"https://www.linkedin.com/in/francis-egger-325625a3/"		"francis.egger.9"
"Bregy, Philipp Matthias"	340	"NR"	"VS"	"M"	"M-E"	"Bü-NR, IK-NR, KVF-NR, RK-NR"	2019-03-04		"M"	1978-07-07	4230	3131	"de"	"de"	1185	"Persönliche/r Mitarbeiter/in"		2020-02-21		879	"Ruppen"	"Felix"			"Persönliche/r Mitarbeiter/in"		"Geschäftsführer bei Elektro Ruppen AG"	"Gérant Elektro Ruppen AG"	52	22	"M"	"de"	"https://www.felix-ruppen.ch/content/index.html"		"https://www.linkedin.com/in/felix-r-818531192/"		"felix.ruppen.3"
"Bregy, Philipp Matthias"	340	"NR"	"VS"	"M"	"M-E"	"Bü-NR, IK-NR, KVF-NR, RK-NR"	2019-03-04		"M"	1978-07-07	4230	3131	"de"	"de"	1215	"Gast"		2020-05-03		898	"Heynen"	"Erich"			"Gast"		"CCO/Leiter Unternehmenskommunikation Serafe"	"CCO/Responsable communication de Serafe"	49		"M"	"de"	"https://www.serafe.ch/"		"https://www.linkedin.com/in/erich-heynen-a01ab299/"	"Erich_Heynen/cv"	
"Brélaz, Daniel"	269	"NR"	"VD"	"Grüne"	"G"	"Bü-NR, FK-NR, RK-NR"	1979-11-26		"M"	1950-01-04	724	2023	"fr"	"fr"																							
"Brenzikofer, Florence"	424	"NR"	"BL"	"Grüne"	"G"	"RK-NR"	2019-12-09		"F"	1975-04-15	4315	3211	"de"	"de"	1138	"Persönliche/r Mitarbeiter/in"		2020-02-09		854	"Franzini"	"Luzian"			"Persönliche/r Mitarbeiter/in"		"Student, Vizepräsident Grüne Schweiz, Kantonsrat"	"Etudiant, Vice-Président les verts suisses, Conseiller cantonal"	20	4	"M"	"de"	"https://luzianfranzini.ch/portrait/"	"luzian_franzini"	"https://www.linkedin.com/in/luzian-franzini-458364132/"	"Luzian_Franzini/cv"	"luzian.franzini"
"Brenzikofer, Florence"	424	"NR"	"BL"	"Grüne"	"G"	"RK-NR"	2019-12-09		"F"	1975-04-15	4315	3211	"de"	"de"	1270	"Président SER"		2021-04-02		945	"Rohrbach"	"Samuel"			"Président SER"		"Lehrer, Gewerkschafter"	"Enseignant, syndicaliste"	41	22	"M"	"fr"			"https://www.linkedin.com/in/samuel-rohrbach-799254a5?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BAdxYrN03S0%2BEb9P80LROpA%3D%3D"		
"Brunner, Thomas"	365	"NR"	"SG"	"GLP"	"GL"	"WBK-NR"	2019-12-01		"M"	1960-07-25	4251	3143	"de"	"de"																							
"Büchel, Roland"	60	"NR"	"SG"	"SVP"	"V"	"APK-NR, Bü-NR, Del FL-V, ERD-V"	2010-03-01		"M"	1965-10-08	4025	2740	"de"	"de"																							
"Buffat, Michaël"	270	"NR"	"VD"	"SVP"	"V"	"Del F-V, RedK-V, SPK-NR"	2015-11-30		"M"	1979-09-27	4156	3062	"fr"	"fr"	561	"UDC Vaud"	"UDC Vaud"			425	"Grangier"	"Kevin"			"Secrétaire général de l'UDC Vaud"		"Medientrainer und Campaigner"	"Médiatrainer et Campaigner"	18	5	"M"	"fr"	"http://www.udc-vaud.ch/"	"KevinGrangier"	"http://ch.linkedin.com/pub/kevin-grangier/64/105/a31"		"Kevin Grangier"
"Buffat, Michaël"	270	"NR"	"VD"	"SVP"	"V"	"Del F-V, RedK-V, SPK-NR"	2015-11-30		"M"	1979-09-27	4156	3062	"fr"	"fr"	1139	"Verband Schweizerischer Kantonalbanken VSKB"		2020-02-09		458	"Steiner"	"Adrian"					"Vizedirektor / Leiter Public & Regulatory Affairs Verband Schweizerischer Kantonalbanken"	"Sous-directeur / Responsable Affaires publiques et réglementaires Union des Banques Cantonales suisses"	16		"M"	"de"	"http://www.kantonalbanken.ch"				
"Bulliard-Marbach, Christine"	63	"NR"	"FR"	"M"	"M-E"	"APF-V, APK-NR, UREK-NR"	2011-12-05		"F"	1959-10-13	4101	3017	"de"	"de"	84	"Gast"				90	"Bulliard"	"Daniel Noël"			"Gast/Ehemann von NR Christine Bulliard-Marbach"		"Verwalter von Immobilien-Gesellschaften"	"Administrateur de sociétés immobilières"	19		"M"	"fr"	"http://www.bulliard.ch"				
"Burgherr, Thomas"	272	"NR"	"AG"	"SVP"	"V"	"WAK-NR"	2015-11-30		"M"	1962-08-01	4158	3064	"de"	"de"	1027	"Persönliche/r Mitarbeiter/in"		2019-12-03		506	"Vögeli"	"Urs"			"Selbständiger politikwissenschaftlicher Berater"		"Politikwissenschaftler"		35	5	"M"	"de"		"uvoegeli"		"Urs Vögeli"	"urs.vogeli.3"
"Burkart, Thierry"	273	"SR"	"AG"	"FDP"	"RL"	"GPK-SR, KVF-SR, RedK-V, SiK-SR"	2015-11-30		"M"	1975-08-21	4189	3065	"de"	"de"	1132	"Schweizerischer Gewerbeverband"		2019-12-16		283	"Schneider"	"Henrique"					"Stellvertretender Direktor Schweizerischer Gewerbeverband"	"Directeur adjoint Union suisse des arts et métiers"	59		"M"	"de"	"http://www.sgv-usam.ch/verband/geschaeftsstelle/team.html"				
"Burkart, Thierry"	273	"SR"	"AG"	"FDP"	"RL"	"GPK-SR, KVF-SR, RedK-V, SiK-SR"	2015-11-30		"M"	1975-08-21	4189	3065	"de"	"de"	1172	"ASTAG - Schweizerischer Nutzfahrzeugverband"		2020-02-09		479	"Jaussi"	"Reto"					"Direktor Astag"	"Directeur Astag"	36		"M"	"de"	"http://www.astag.ch"		"https://www.linkedin.com/in/reto-jaussi-astag-3640697b/"	"Reto_Jaussi/cv"	"jaussi"
"Candinas, Martin"	65	"NR"	"GR"	"M"	"M-E"	"Bü-NR, Bü-VBV-V, KVF-NR, SiK-NR, VD"	2011-12-05		"M"	1980-08-20	4070	2770	"rm"	"de"	526	"hotelleriesuisse"	"hotelleriesuisse"	2015-03-05		467	"Hans"	"Christophe"					"Leiter Wirtschaftspolitik bei Hotelleriesuisse"	"Responsable Politique économique"	60		"M"	"fr"		"ChristopheHans5"	"https://ch.linkedin.com/in/christophe-hans-04583156/de"		
"Candinas, Martin"	65	"NR"	"GR"	"M"	"M-E"	"Bü-NR, Bü-VBV-V, KVF-NR, SiK-NR, VD"	2011-12-05		"M"	1980-08-20	4070	2770	"rm"	"de"	1223	"Geschäftsführer LITRA"		2020-08-30																			
"Carobbio Guscetti, Marina"	4	"SR"	"TI"	"SP"	"S"	"Del I-V, ERD-V, FK-SR, RedK-V, SGK-SR, WBK-SR"	2007-06-04		"F"	1966-06-12	3830	2666	"it"	"de"	1174	"Presidente Conscienza Svizzera"		2020-02-09		677	"Pini"	"Verio"	"Dante"		"Collaboratore personale"		"President ""Coscienza Svizzera"""	"président ""Coscienza Svizzera"""	13		"M"	"it"			"https://www.linkedin.com/in/verio-pini-95407a31/"		
"Caroni, Andrea"	66	"SR"	"AR"	"FDP"	"RL"	"APK-NS 20-30, APK-SR, Del I-V, GK-V, IPU, RK-SR, SPK-SR"	2011-12-05		"M"	1980-04-19	4075	2775	"de"	"de"																							
"Cattaneo, Rocco"	326	"NR"	"TI"	"FDP"	"RL"	"SiK-NR"	2017-11-27		"M"	1958-12-06	4217	3118	"it"	"de"	889	"Gast"		2018-05-22		258	"Aeppli"	"Alfred"			"Gast"		"Pfarrer"	"Pasteur"	84		"M"	"de"					
"Chevalley, Isabelle"	67	"NR"	"VD"	"GLP"	"GL"	"UREK-NR, WBK-NR"	2011-12-05		"F"	1972-04-13	4108	3604	"fr"	"fr"	1028	"BIOMASSE Schweiz"		2019-12-03		93	"Wellinger"	"Arthur"			"Biomasse Suisse"		"Geschäftsführer"	"Directeur"	32		"M"	"de"	"http://www.triple-e-und-m.ch"		"https://ch.linkedin.com/in/arthur-wellinger-69a12370"	"Wellinger_Arthur"	
