parlamentarier_anzeige_name	parlamentarier_id	parlamentarier_nachname	parlamentarier_vorname	parlamentarier_zweiter_vorname	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache	interessenbindung_beschreibung	interessenbindung_von	interessenbindung_bis	interessenbindung_art	interessenbindung_funktion_im_gremium	interessenbindung_deklarationstyp	interessenbindung_status	interessenbindung_hauptberuflich	interessenbindung_behoerden_vertreter	interessenbindung_wirksamkeit	organisation_id	verguetung	verguetung_jahr	verguetung_beschreibung	organisation_name_de	organisation_uid	organisation_name_fr	organisation_ort	organisation_rechtsform	organisation_rechtsform_handelsregister	organisation_rechtsform_zefix	organisation_typ	organisation_vernehmlassung	organisation_interessengruppe1	organisation_interessengruppe1_branche	organisation_interessengruppe1_branche_kommission_abkuerzung	organisation_interessengruppe2	organisation_interessengruppe2_branche	organisation_interessengruppe2_branche_kommission_abkuerzung	organisation_interessengruppe3	organisation_interessengruppe3_branche	organisation_interessengruppe3_branche_kommission_abkuerzung
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2021-02-02		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1852				"Hauptstadtregion Schweiz"		"Région capitale suisse"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Kantone/Regionen"	"Staatspolitik/Staatswirtschaft"	"SPK"	"Städte"	"Staatspolitik/Staatswirtschaft"	"SPK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	1976	-1	2021	"Bezahlendes Mitglied"	"Schweizerischer Anwaltsverband SAV"	"CHE-107.543.578"	"Fédération Suisse des Avocats"	"Bern"	"Verein"	0109		"DachOrganisation,LeistungsErbringer,dezidierteLobby"	"punktuell"	"Advokaturen/Treuhand"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2020				"Bergbevölkerung"		"Montagne"	"Bern"	"Parlamentarische Gruppe"			"dezidierteLobby"	"nie"	"Berggebiete"	"Staatspolitik/Staatswirtschaft"	"SPK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2415				"Pfadibewegung Schweiz"		"Mouvement Scout de Suisse"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"punktuell"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Anwalt, Inhaber und Geschäftsführer"			"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	1	"N"	"tief"	2650	1	2021		"Addor & Künzi avocats SA"	"CHE-145.146.480"		"Sion"	"AG"	0106	3	"EinzelOrganisation"	"nie"	"Advokaturen/Treuhand"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"praesident"	"nicht deklarationspflicht"	"deklariert"	"0"	"N"	"tief"	2651	"0"	2021	"Ehrenamtlich"	"Penalty d'Or"			"Savièse"	"Verein"			"EinzelOrganisation"	"nie"	"Sport allgemein"	"Sport"	"WBK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2652	-1	2021	"Bezahlendes Mitglied"	"Walliser Anwaltsverband"		"Ordre des avocats valaisans (OAVS)"	"Sion"	"Verein"			"MitgliedsOrganisation,LeistungsErbringer"	"nie"	"Advokaturen/Treuhand"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2653	-1	2021	"Bezahlendes Mitglied"	"Union des indépendants (UDI)"			"Sion"	"Verein"			"MitgliedsOrganisation"	"nie"	"KMU/Gewerbe/Arbeitgeber"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"mitglied"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2658	"0"	2021	"Ehrenamtlich"	"AUNS Wallis"		"ASIN Valais"		"Verein"			"MitgliedsOrganisation,dezidierteLobby"	"nie"	"EU-Gegner"	"Aussenpolitik/Aussenwirtschaft"	"APK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Präsident a.i. / Président a.i."			"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"hoch"	2659	1	2021		"proTell Gesellschaft für ein freiheitliches Waffenrecht"	"CHE-115.027.830"	"Pro Tell, Société pour un droit libéral sur les armes"	"Bern"	"Verein"	0109		"EinzelOrganisation,MitgliedsOrganisation,dezidierteLobby"	"punktuell"	"Militär"	"Sicherheit"	"SiK"	"EU-Gegner"	"Aussenpolitik/Aussenwirtschaft"	"APK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2660	-1	2021	"Bezahlendes Mitglied"	"Association des Amis et des Anciens des Rives du Rhône"			"Salvan"	"Verein"			"EinzelOrganisation"	"nie"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2661	-1	2021	"Bezahlendes Mitglied"	"Fédération Romande Faîtière des Associations de Personnes Concernées par les problèmes liés à la Drogue (F.R.A.P.C.D)"			"Martigny"	"Verein"			"DachOrganisation,dezidierteLobby"	"nie"	"Gesundheit"	"Gesundheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2662	-1	2021	"Bezahlendes Mitglied"	"Schweizerische Bewegung gegen die Islamisierung"		"Mouvement Suisse Contre l'Islamisation"	"Orbe"	"Verein"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Migration"	"Staatspolitik/Staatswirtschaft"	"SPK"	"Religion"	"Staatspolitik/Staatswirtschaft"	"SPK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2663	-1	2021	"Bezahlendes Mitglied"	"Association pour la Protection du Paysage du Coude du Rhône"			"Collonges"	"Verein"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Umwelt & Natur"	"Umwelt"	"UREK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2664	-1	2021	"Bezahlendes Mitglied"	"Association stop aux abus de via sicura"	"CHE-240.172.832"		"Monthey 2"	"Verein"	0109		"EinzelOrganisation,dezidierteLobby"	"nie"	"Individualverkehr"	"Verkehr"	"KVF"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2793				"Rock/Pop im Bundeshaus"		"Pop rock au Palais fédéral"	"St. Gallen"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Musik"	"Kultur"	"WBK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2855				"Mehrsprachigkeit CH"		"Plurilinguisme CH"	"Lenzburg"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Kulturförderung"	"Kultur"	"WBK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2021-03-29		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2856				"Tierschutz"		"protection des animaux"	"Basel"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Tierschutz"	"Umwelt"	"UREK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2899				"Wohn- und Grundeigentum"		"Propriété immobilière et foncière"	"Zürich"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Immobilien/Hauseigentümer"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	3298	-1	2021	"Bezahlendes Mitglied"	"Schweizerische Volkspartei Savièse"		"Union démocratique du centre Savièse"	"Savièse"	"Verein"			"EinzelOrganisation,MitgliedsOrganisation,LeistungsErbringer,dezidierteLobby"	"nie"	"Parteien"	"Staatspolitik/Staatswirtschaft"	"SPK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Conseil exécutif"			"vorstand"	"vizepraesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	3299	-1	2021	"Bezahlendes Mitglied"	"Schweizerische Volkspartei Unterwallis"		"Union démocratique du centre Valais romand"	"Fully"	"Verein"			"DachOrganisation,MitgliedsOrganisation,dezidierteLobby"	"nie"	"Parteien"	"Staatspolitik/Staatswirtschaft"	"SPK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	4976				"Ernährungssouveränität"		"Souveraineté alimentaire"	"Lausanne"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Landwirtschaft allgemein"	"Landwirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-11-23		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5047				"Weinbau"		"Vitivinicole"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation"	"nie"	"Weinbau, Bier und Spirituosen"	"Landwirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5189				"Altersfragen"		"Questions relatives à la vieillesse"	"Zürich"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5204				"BVG"		"LPP"	"Zürich"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Sozialversicherungen"	"Soziale Sicherheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"mitglied"	"deklarationspflichtig"	"nicht-deklariert"	"0"		"tief"	5257	"0"	2021	"Ehrenamtlich"	"Egerkinger Komitee - Initiativkomitee ""Ja zum Verhüllungsverbot"""		"Comité d'initiative ""Oui à l'interdiction de se  dissimuler le visage"""	"Flaach"	"Verein"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Religion"	"Staatspolitik/Staatswirtschaft"	"SPK"	"Migration"	"Staatspolitik/Staatswirtschaft"	"SPK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Präsident"			"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"		"tief"	5728	"0"	2021	"Ehrenamtlich"	"Für ein freiheitliches Waffenrecht"		"Pour un droit libéral sur les armes"	"Bern 8"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Militär"	"Sicherheit"	"SiK"	"EU-Gegner"	"Aussenpolitik/Aussenwirtschaft"	"APK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5788	"0"	2021	"Ehrenamtlich"	"Stiftung COURAGE"	"CHE-110.407.450"		"Bern"	"Stiftung"	0110	7	"EinzelOrganisation"	"nie"	"Militär"	"Sicherheit"	"SiK"	"EU-Gegner"	"Aussenpolitik/Aussenwirtschaft"	"APK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"vizepraesident"	"deklarationspflichtig"	"deklariert"	"0"		"tief"	5789	"0"	2021	"Ehrenamtlich"	"Société de tir pratique Valais"				"Verein"			"EinzelOrganisation"	"nie"	"Breitensport"	"Sport"	"WBK"	"Militär"	"Sicherheit"	"SiK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	7596				"Bürgergemeinden und Korporationen"		"Bourgeoisies et corporations"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Gemeinden"	"Staatspolitik/Staatswirtschaft"	"SPK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"		"tief"	7889	-1	2021	"Bezahlendes Mitglied"	"Notre Armée de Milice, Administration et rédaction"	"CHE-108.221.284"		"Yverdon-les-Bains"	"Verein"	0109		"EinzelOrganisation"	"nie"	"Militär"	"Sicherheit"	"SiK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2021-11-01		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	8240																					
"Aebi, Andreas"	39	"Aebi"	"Andreas"		"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied Landwirtschafskammer"			"taetig"		"deklarationspflichtig"	"nicht-deklariert"	"0"	"N"	"mittel"	47				"Schweizer Bauernverband (SBV)"	"CHE-108.088.677"	"Union Suisse des Paysans"	"Brugg AG"	"Verein"	0109	6	"DachOrganisation,LeistungsErbringer,dezidierteLobby"	"immer"	"Landwirtschaft allgemein"	"Landwirtschaft"	"WAK"						
"Aebi, Andreas"	39	"Aebi"	"Andreas"		"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"				"vorstand"	"mitglied"	"deklarationspflichtig"	"nicht-deklariert"	"0"	"N"	"mittel"	182				"Hochspannung unter den Boden"		"Haute tension sous terre"	"Fribourg"	"Verein"			"EinzelOrganisation,LeistungsErbringer,dezidierteLobby"	"punktuell"	"Energie allgemein"	"Energie"	"UREK"						
"Aebi, Andreas"	39	"Aebi"	"Andreas"		"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	637				"Biodiversität und Artenschutz"		"Biodiversité et gestion des espèces"	"Zürich"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"punktuell"	"Umwelt & Natur"	"Umwelt"	"UREK"						
